id;customer_id;customer_name;customer_type;customer_status;customer_status_code;free_field_1;free_field_2;free_field_3;free_field_4;free_field_5;free_field_6;free_field_7;free_field_8
1;Assistant;Market;program payment User-friendly;Team-oriented;index;auxiliary experiences;Sahara;Kong deposit;indexing Ball;users;Directives Soft Implementation;partnerships Uzbekistan intelligence;Ergonomic Generic bluetooth
2;copying;multi-byte;Handmade violet;primary;Renminbi plum;Dollar calculate Chair;Cheese Loan Lead;RSS COM;Court Loan Rustic;application;Hat Berkshire Towels;Robust connect Outdoors;transmitting Kenya
3;Metrics Shirt Rubber;Table;Sausages;Via;overriding Japan multi-tasking;Account;high-level compressing;intuitive black Small;upward-trending Concrete wireless;Kids Open-source parsing;New Human;deposit haptic Dynamic;Chief system-worthy
4;Global scale Jewelery;bypass Frozen;Carolina;monitor synthesizing;Strategist full-range;SAS;Mouse;multi-byte Mississippi payment;connecting;invoice Investment;Afghani;XSS Curve deposit;Dam up
5;online deposit Specialist;compress user;Ville Minnesota array;Future Refined;transparent Peso;uniform quantify Wooden;state Internal primary;Bedfordshire Connecticut;Nebraska;Solutions Bacon Beauty;Tome;Health redundant Grocery;Loan
6;Architect;Grocery;Total;invoice;Loaf Montana;reboot Georgia;parse Somalia Markets;French Agent;Ball monitor;payment;navigating;Soft Tenge Fresh;withdrawal XSS
7;incentivize structure visualize;Zloty Mississippi;hack;payment;Buckinghamshire Lead Licensed;Generic Kiribati;Market Mongolia override;District;Developer Group artificial;Supervisor;index;actuating;utilize Dynamic
8;withdrawal;Branding Ergonomic moratorium;ADP;Shoes;PCI Dollar;Solutions;Buckinghamshire Estate;Rupee;mobile regional;User-centric;contingency;indexing;fuchsia
9;Bridge Forward plum;JBOD open-source Handcrafted;COM SDD;Florida Tactics;driver;feed Representative Division;virtual Small contingency;e-tailers;withdrawal Mountains middleware;Indiana;scale payment Shoes;back-end Industrial;auxiliary Island
10;cross-platform Agent Concrete;Wooden;array;Beauty;transmitter;Fields;zero;Corporate;synthesize partnerships;PNG Regional;Shirt silver Right-sized;transmitting content-based Dynamic;Pound Account
